Comunidad,Comunidad_name,
2,ANDALUCÍA,
3,ARAGÓN,
4,CANARIAS,
5,CANTABRIA,
6,CASTILLA Y LEÓN,
7,CASTILLA-LA MANCHA,
8,CATALUÑA,
9,CIUDAD AUTÓNOMA DE CEUTA,
10,CIUDAD AUTÓNOMA DE MELILLA,
11,COMUNIDAD DE MADRID,
12,COMUNIDAD FORAL DE NAVARRA,
13,COMUNITAT VALENCIANA,
14,EXTREMADURA,
15,GALICIA,
16,ILLES BALEARS,
17,LA RIOJA,
18,PAÍS VASCO,
19,PRINCIPADO DE ASTURIAS,
20,REGIÓN DE MURCIA,
