Referencia,Titular,NIF/CIF,Domicilio social,Localidad,Provincia,C. Postal,F. Concesion,F. Caducidad,Susceptible cesion,Susceptible mutualizacion,Obtenido por transferencia
BUBU-1600096,"RETEVISION I, S.A.U.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,10/05/2016,31/12/2026,true,,
BUBU-1700047,ORANGE ESPAGNE SA,A82009812,PASEO CLUB DEPORTIVO,POZUELO DE ALARCÓN,MADRID,28223,15/02/2017,31/12/2022,true,,
BUBU-1800170,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,07/06/2018,31/12/2023,true,,
BUBU-1800259,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/08/2018,31/12/2023,true,,
BUBU-1900007,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,28/01/2019,31/12/2024,true,,
BUBU-1900110,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,02/04/2019,31/12/2024,true,,
BUBU-1900271,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/07/2019,31/12/2024,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
BUBU-1900329,ORANGE ESPAGNE SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,10/09/2019,31/12/2024,,,
BUBU-1900360,ORANGE ESPAGNE SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,04/10/2019,31/12/2024,,,
BUBU-1900402,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,03/12/2019,31/12/2024,,,
BUBU-1900408,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/01/2020,31/12/2025,true,,
BUBU-1900458,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,03/03/2020,31/12/2025,,,
BUBU-2000006,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,03/03/2020,31/12/2025,,,
BUBU-2000010,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,03/03/2020,31/12/2025,,,
BUBU-2000025,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,01/06/2020,31/12/2025,,,
BUBU-2000059,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,15/06/2020,31/12/2025,,,
BUBU-2000072,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,17/06/2020,31/12/2025,,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
BUBU-2000114,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,17/06/2020,31/12/2025,,,
BUBU-2000153,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,23/06/2020,31/12/2025,true,,
BUBU-2000211,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,31/07/2020,31/12/2025,true,,
BUBU-2000212,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,01/07/2020,31/12/2025,true,,
BUBU-2000430,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,21/07/2020,31/12/2025,true,,
BUBU-2000534,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,07/09/2020,31/12/2025,true,,
BUBU-2000557,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,07/09/2020,31/12/2025,,,
BUBU-2000567,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,07/09/2020,31/12/2025,,,
BUBU-2000581,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,05/10/2020,31/12/2025,true,,
BUBU-2000583,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,09/10/2020,31/12/2025,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
BUBU-2000613,"RETEVISION I, S.A.U.",A62275680,"CALLE JUAN ESPLANDIÚ, 11.",MADRID,MADRID,28007,23/11/2020,31/12/2025,true,,
BUBU-2000645,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,27/01/2021,31/12/2026,true,,
BUBU-2100053,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,09/03/2021,31/12/2026,true,,
BUBU-2100203,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,13/05/2021,31/12/2026,true,,
BUBU-2100303,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,06/07/2021,31/12/2026,true,,
BUBU-2100305,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,06/07/2021,31/12/2026,true,,
BUBU-2100328,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,30/07/2021,31/12/2026,true,,
BUBU-2100399,"XFERA MOVILES, S.A.U.",A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28018,21/09/2021,31/12/2026,true,,
BUBU-2100528,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,05/10/2021,31/12/2026,true,,
BUBU-2200086,VODAFONE ONO S.A.,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,21/04/2022,31/12/2027,true,,
...,11,12,13,14,15,16,17,18,19,20,...
BUBU-2200109,VODAFONE ONO S.A.,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,21/04/2022,31/12/2027,true,,
BUZZ-1600097,RETEVISION I SA,A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,10/05/2016,31/12/2026,true,,
BUZZ-1600439,"XFERA MOVILES, S.A.U.",A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,16/01/2017,31/12/2022,true,,
BUZZ-2000633,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,11/01/2021,31/12/2026,true,,
BUZZ-2100373,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,30/08/2021,31/12/2026,true,,
DGAV-0100305,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGAV-9000172,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,27/04/2001,31/12/2026,,,
DGBU-0100308,"RETEVISION I, S.A.",A62275680,"AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGBU-0100310,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGBU-0100311,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
...,11,12,13,14,15,16,17,18,19,20,...
DGBU-0100312,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGBU-8832097,"RETEVISION I, S.A.",A62275680,"AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,30/04/2001,31/12/2026,,,
DGLE-0100314,"RETEVISION I, S.A.",A62275680,"AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGLE-0100315,"RETEVISION I, S.A.",A62275680,"AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGLE-0100316,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGLE-0100317,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/04/2001,31/12/2026,,,
DGP -0100319,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGP -0300714,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/05/2003,31/12/2023,true,,
DGSA-0100320,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGSA-8701728,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,30/04/2001,31/12/2026,,,
...,11,12,13,14,15,16,17,18,19,20,...
DGSG-0100324,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGSG-0100325,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGSO-0100321,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGSO-0100322,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGZA-0100326,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGZA-0100327,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,23/04/2001,31/12/2026,,,
DGZZ-9200018,RETEVISION I SA,A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,26/02/2001,31/12/2026,true,,
DGZZ-9200213,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,26/02/2001,31/12/2026,true,,
DGZZ-9200224,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,26/02/2001,31/12/2026,true,,
DGZZ-9200226,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,26/02/2001,31/12/2026,true,,
...,11,12,13,14,15,16,17,18,19,20,...
DGZZ-9200231,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,26/02/2001,31/12/2026,true,,
LELE-0800040,MARQUES BIDCO SL,B88419569,"CL PEDRO TEIXEIRA, 8. 6º",MADRID,MADRID,28020,21/05/2008,31/12/2023,true,,Detalle
LELE-0900010,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,11/03/2009,31/12/2024,true,,
LELE-0900030,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,24/06/2009,31/12/2024,true,,
LELE-1100160,JUNTA DE CASTILLA Y LEON,S4711001J,"CL RIGOBERTO CORTEJOSO, 14",VALLADOLID,VALLADOLID,47014,20/01/2012,31/12/2022,true,,
LELE-1100161,RETEVISION I SA,A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,20/01/2012,31/12/2022,true,,
LELE-1100167,JUNTA DE CASTILLA Y LEON,S4711001J,"CL RIGOBERTO CORTEJOSO, 14",VALLADOLID,VALLADOLID,47014,02/02/2012,31/12/2022,true,,
LELE-1100168,JUNTA DE CASTILLA Y LEON,S4711001J,"CL RIGOBERTO CORTEJOSO, 14",VALLADOLID,VALLADOLID,47014,20/02/2012,31/12/2022,true,,
LELE-1100182,RETEVISION I SA,A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,10/02/2012,31/12/2022,true,,
LELE-1200225,JUNTA DE CASTILLA Y LEON,S4711001J,"CL RIGOBERTO CORTEJOSO, 14",VALLADOLID,VALLADOLID,47014,19/07/2012,31/12/2022,true,,
...,11,12,13,14,15,16,17,18,19,20,...
LELE-1200234,JUNTA DE CASTILLA Y LEON,S4711001J,"CL RIGOBERTO CORTEJOSO, 14",VALLADOLID,VALLADOLID,47014,10/09/2012,31/12/2022,true,,
LELE-1200301,JUNTA DE CASTILLA Y LEON,S4711001J,"CL RIGOBERTO CORTEJOSO, 14",VALLADOLID,VALLADOLID,47014,04/12/2012,31/12/2022,true,,
LELE-1200302,"RETEVISION I, S.A.",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,04/12/2012,31/12/2022,true,,
LELE-1200307,JUNTA DE CASTILLA Y LEON,S4711001J,"CL RIGOBERTO CORTEJOSO, 14",VALLADOLID,VALLADOLID,47014,10/12/2012,31/12/2022,true,,
LELE-1300427,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/02/2014,31/12/2024,true,,
LELE-1300428,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,31/01/2014,31/12/2024,true,,
LELE-1300442,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/02/2014,31/12/2024,true,,
LELE-1400183,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,12/08/2014,31/12/2024,true,,
LELE-1500312,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,AV ANDALUCIA. DOLMEN DE LA PASTORA. S/N,VALENCINA DE LA CONCEPCIÓN,SEVILLA,41907,28/10/2015,31/12/2025,true,,
LELE-1600001,RETEVISION I SA,A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,18/01/2016,31/12/2026,true,,
...,11,12,13,14,15,16,17,18,19,20,...
LELE-1800156,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AV ANDALUCÍA, S/N. 4º",SEVILLA,SEVILLA,41907,17/05/2018,31/12/2023,true,,
LELE-1800157,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,08/06/2018,31/12/2023,true,,
LELE-1800189,"RETEVISION I, SAU",A62275680,"VIA AV DEL PARQUE LOGISTICO, 12-20",BARCELONA,BARCELONA,08040,09/07/2018,31/12/2023,true,,
LELE-1900252,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,30/05/2019,31/12/2024,,,
LELE-1900257,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,05/06/2019,31/12/2024,,,
LELE-1900274,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,19/06/2019,31/12/2024,,,
LELE-1900342,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,07/08/2019,31/12/2024,true,,
LELE-1900429,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,10/10/2019,31/12/2024,,,
LELE-1900430,ORANGE ESPAÑA SA,A82009812,PASEO CLUB DEPORTIVO,POZUELO DE ALARCÓN,MADRID,28223,16/10/2019,31/12/2024,,,
LELE-1900431,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,16/10/2019,31/12/2024,,,
...,11,12,13,14,15,16,17,18,19,20,...
LELE-1900448,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,14/11/2019,31/12/2024,,,
LELE-1900459,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,14/11/2019,31/12/2024,,,
LELE-1900471,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,16/11/2019,31/12/2024,,,
LELE-1900488,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,14/11/2019,31/12/2024,,,
LELE-1900490,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,14/11/2019,31/12/2024,,,
LELE-1900492,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900493,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900498,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900499,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900502,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
...,11,12,13,14,15,16,17,18,19,20,...
LELE-1900503,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900504,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900510,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900520,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900523,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900524,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900525,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,30/01/2020,31/12/2025,,,
LELE-1900526,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-1900527,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-1900528,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
...,11,12,13,14,15,16,17,18,19,20,...
LELE-2000001,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000002,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000004,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000006,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000008,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000009,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000010,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000011,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000012,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000013,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
...,11,12,13,14,15,16,17,18,19,20,...
LELE-2000014,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000015,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,13/04/2020,31/12/2025,,,
LELE-2000027,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1",POZUELO DE ALARCÓN,MADRID,28223,22/05/2020,31/12/2025,,,
LELE-2000044,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,04/06/2020,31/12/2025,,,
LELE-2000045,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,04/06/2020,31/12/2025,,,
LELE-2000046,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º",MADRID,MADRID,28223,04/06/2020,31/12/2025,,,
LELE-2000124,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,14/07/2020,31/12/2025,,,
LELE-2000147,ORANGE ESPAÑA SA,A82009812,"PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE",POZUELO DE ALARCÓN,MADRID,28223,19/08/2020,31/12/2025,,,
LELE-2000168,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,19/08/2020,31/12/2025,,,
LELE-2000268,VODAFONE ONO SA,A62186556,"AVDA AMERICA, 115.",MADRID,MADRID,28042,06/10/2020,31/12/2025,true,,
...,21,22,23,24,25,26,27,28,29,30,...
LELE-2000269,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,06/10/2020,31/12/2025,,,
LELE-2000276,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,22/10/2020,31/12/2025,,,
LELE-2000280,ORANGE ESPAÑA SA,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,29/10/2020,31/12/2025,,,
LELE-2000284,ORANGE ESPAGNE S.A.U,A82009812,"PASEO CLUB DEPORTIVO, 1.",POZUELO DE ALARCÓN,MADRID,28223,29/10/2020,31/12/2025,,,
LELE-2000290,"RETEVISION I, S.A.U.",A62275680,"CALLE JUAN ESPLANDIÚ, 11.",MADRID,MADRID,28007,11/11/2020,31/12/2025,true,,
