Referencia,Titular,NIF/CIF,Domicilio social,Localidad,Provincia,C. Postal,F. Concesion,F. Caducidad,Susceptible cesion,Susceptible mutualizacion,Obtenido por transferencia
ALAL-1500113,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,27/04/2015,31/12/2025,true,,
ALAL-1500158,"INSTELNET TELECOMUNICACIONES, S.R.L",B04816245,"AV. CARLOS HERRERA, 28", ,ALMERÍA,04617,20/04/2015,31/12/2025,true,,Detalle
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-1500385,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,02/09/2015,31/12/2025,true,,
ALAL-1500418,LIROSAN COMUNICACIONES SOCIEDAD LIMITADA,B04742409,"CL ANTONIO RIPOLL JAVALOYES, 2, ESC 2. 2º 4",ELCHE,ALICANTE/ALACANT,03202,09/10/2015,31/12/2025,true,,
ALAL-1500521,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,04/02/2016,31/12/2026,true,,
ALAL-1600067,UNION DE TELECOMUNICACIONES,B04740916,"CALLE PEDRO DE MENA, 31.",ADRA,ALMERÍA,04770,15/02/2016,31/12/2026,true,,
ALAL-1600927,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,05/07/2016,31/12/2026,true,,
ALAL-1601117,AIRE NETWORKS DEL MEDITERRANEO S.L.,B53704599,"CALLE SANTIAGO RAMON Y CAJAL, 11.",ELCHE,ALICANTE/ALACANT,03203,23/06/2016,31/12/2026,true,,
ALAL-1601118,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,14/07/2016,31/12/2026,true,,
ALAL-1601119,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,B53704599,"CL RAMON Y CAJAL,11 (PARQUE EMPRESARIAL)",ELCHE,ALICANTE/ALACANT,03203,23/06/2016,31/12/2026,true,,
ALAL-1603640,"SPOTTING BRANDS TECHNOLOGIES, S.L.",B86779584,"AV BRUSELAS (DE), 38",ALCOBENDAS,MADRID,28108,27/09/2016,31/12/2026,true,,Detalle
ALAL-1604955,"INSTELNET TELECOMUNICACIONES, S.R.L",B04816245,"AV. CARLOS HERRERA, 28", ,ALMERÍA,04617,20/12/2016,31/12/2026,true,,Detalle
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-1700160,TELPLAY . SL,B73264129,"CALLE JUAN RAMON JIMENEZ, 17",PUERTO LUMBRERAS,MURCIA,30890,27/01/2017,31/12/2022,true,,
ALAL-1700191,AIRE NETWORKS DEL MEDITERRANEO S.L.,B53704599,"CALLE SANTIAGO RAMON Y CAJAL, 11.",ELCHE,ALICANTE/ALACANT,03203,17/02/2017,31/12/2022,true,,
ALAL-1700238,"RETEVISION I, S.A.U.",A62275680,"CALLE JUAN ESPLANDIU, 11.",MADRID,MADRID,28007,17/05/2017,31/12/2022,true,,
ALAL-1700355,VODAFONE ONO SA,A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,28/07/2017,31/12/2022,true,,
