;Referencia;Comunidad;Provincia;Municipio;Frequencias;Tipo;codigopostalid;lat;lon
718585;ALAL-1300196;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;23.198;GHz;240;-2712437310.0;42939811580.0
733250;ALAL-1300196;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;23.366;GHz;240;-2712437310.0;42939811580.0
747915;ALAL-1300196;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;23.534;GHz;240;-2712437310.0;42939811580.0
762580;ALAL-1300228;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.019;GHz;240;-2712437310.0;42939811580.0
777245;ALAL-1300228;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.327;GHz;240;-2712437310.0;42939811580.0
791910;ALAL-1300228;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.334;GHz;240;-2712437310.0;42939811580.0
806575;ALAL-1300228;ANDALUCÍA;ALMERÍA;LUBRIN;14.599;GHz;240;-2712437310.0;42939811580.0
821240;ALAL-1300228;ANDALUCÍA;ALMERÍA;LUBRIN;14.907;GHz;240;-2712437310.0;42939811580.0
835905;ALAL-1300228;ANDALUCÍA;ALMERÍA;LUBRIN;14.914;GHz;240;-2712437310.0;42939811580.0
850570;ALAL-1300386;ANDALUCÍA;ALMERÍA;EJIDO (EL);28962.5;MHz;240;-2712437310.0;42939811580.0
865235;ALAL-1300386;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;27954.5;MHz;240;-2712437310.0;42939811580.0
879900;ALAL-1300389;ANDALUCÍA;ALMERÍA;ALMERIA;14.907;GHz;240;-2712437310.0;42939811580.0
894565;ALAL-1300389;ANDALUCÍA;ALMERÍA;ALMERIA;14.914;GHz;240;-2712437310.0;42939811580.0
909238;ALAL-1300389;ANDALUCÍA;ALMERÍA;PECHINA;15.327;GHz;1474;-3127917180.0;43120843580.0
923903;ALAL-1300389;ANDALUCÍA;ALMERÍA;PECHINA;15.334;GHz;1474;-3127917180.0;43120843580.0
938560;ALAL-1300395;ANDALUCÍA;ALMERÍA;ALMERIA;6860.0;MHz;240;-2712437310.0;42939811580.0
953225;ALAL-1300395;ANDALUCÍA;ALMERÍA;ALMERIA;6890.0;MHz;240;-2712437310.0;42939811580.0
967890;ALAL-1300395;ANDALUCÍA;ALMERÍA;ALMERIA;6920.0;MHz;240;-2712437310.0;42939811580.0
982555;ALAL-1300395;ANDALUCÍA;ALMERÍA;ALMERIA;6950.0;MHz;240;-2712437310.0;42939811580.0
997220;ALAL-1300395;ANDALUCÍA;ALMERÍA;ALMERIA;6980.0;MHz;240;-2712437310.0;42939811580.0
1011885;ALAL-1300395;ANDALUCÍA;ALMERÍA;ALMERIA;7010.0;MHz;240;-2712437310.0;42939811580.0
1026558;ALAL-1300395;ANDALUCÍA;ALMERÍA;PECHINA;6520.0;MHz;1474;-3127917180.0;43120843580.0
1041223;ALAL-1300395;ANDALUCÍA;ALMERÍA;PECHINA;6550.0;MHz;1474;-3127917180.0;43120843580.0
1055888;ALAL-1300395;ANDALUCÍA;ALMERÍA;PECHINA;6580.0;MHz;1474;-3127917180.0;43120843580.0
1070553;ALAL-1300395;ANDALUCÍA;ALMERÍA;PECHINA;6610.0;MHz;1474;-3127917180.0;43120843580.0
1085218;ALAL-1300395;ANDALUCÍA;ALMERÍA;PECHINA;6640.0;MHz;1474;-3127917180.0;43120843580.0
1099883;ALAL-1300395;ANDALUCÍA;ALMERÍA;PECHINA;6670.0;MHz;1474;-3127917180.0;43120843580.0
1114540;ALAL-1300399;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.159;GHz;240;-2712437310.0;42939811580.0
1129207;ALAL-1300399;ANDALUCÍA;ALMERÍA;MOJACAR;14.739;GHz;1450;-3000073260.0;43054277760.0
1143870;ALAL-1300406;ANDALUCÍA;ALMERÍA;DALIAS;14.739;GHz;240;-2712437310.0;42939811580.0
1158535;ALAL-1300406;ANDALUCÍA;ALMERÍA;DALIAS;14.907;GHz;240;-2712437310.0;42939811580.0
1173200;ALAL-1300406;ANDALUCÍA;ALMERÍA;DALIAS;14.914;GHz;240;-2712437310.0;42939811580.0
1187865;ALAL-1300406;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;15.159;GHz;240;-2712437310.0;42939811580.0
1202530;ALAL-1300406;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;15.327;GHz;240;-2712437310.0;42939811580.0
1217195;ALAL-1300406;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;15.334;GHz;240;-2712437310.0;42939811580.0
1231860;ALAL-1300524;ANDALUCÍA;ALMERÍA;ADRA;38.03975;GHz;240;-2712437310.0;42939811580.0
1246525;ALAL-1300524;ANDALUCÍA;ALMERÍA;ADRA;39.29975;GHz;240;-2712437310.0;42939811580.0
1261190;ALAL-1300524;ANDALUCÍA;ALMERÍA;CARBONERAS;38.0415;GHz;240;-2712437310.0;42939811580.0
1275855;ALAL-1300524;ANDALUCÍA;ALMERÍA;CARBONERAS;39.3015;GHz;240;-2712437310.0;42939811580.0
1290522;ALAL-1300524;ANDALUCÍA;ALMERÍA;MOJACAR;38.0415;GHz;1450;-3000073260.0;43054277760.0
1305187;ALAL-1300524;ANDALUCÍA;ALMERÍA;MOJACAR;39.3015;GHz;1450;-3000073260.0;43054277760.0
1319852;ALAL-1300524;ANDALUCÍA;ALMERÍA;NIJAR;38.045;GHz;1450;-3000073260.0;43054277760.0
1334517;ALAL-1300524;ANDALUCÍA;ALMERÍA;NIJAR;38.0485;GHz;1450;-3000073260.0;43054277760.0
1349182;ALAL-1300524;ANDALUCÍA;ALMERÍA;NIJAR;38.0555;GHz;1450;-3000073260.0;43054277760.0
1363847;ALAL-1300524;ANDALUCÍA;ALMERÍA;NIJAR;39.305;GHz;1450;-3000073260.0;43054277760.0
1378512;ALAL-1300524;ANDALUCÍA;ALMERÍA;NIJAR;39.3085;GHz;1450;-3000073260.0;43054277760.0
1393177;ALAL-1300524;ANDALUCÍA;ALMERÍA;NIJAR;39.3155;GHz;1450;-3000073260.0;43054277760.0
1407840;ALAL-1300524;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;38.0415;GHz;240;-2712437310.0;42939811580.0
1422505;ALAL-1300524;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;39.3015;GHz;240;-2712437310.0;42939811580.0
