;Referencia;Comunidad;Provincia;Municipio;Frequencias;Tipo;codigopostalid;lat;lon
8535030;TETE-1600202;ARAGÓN;TERUEL;TERUEL;8207.27;MHz;240;-2712437310.0;42939811580.0
8549695;TETE-1700009;ARAGÓN;TERUEL;FUENTES CLARAS;14522.0;MHz;240;-2712437310.0;42939811580.0
8564360;TETE-1700009;ARAGÓN;TERUEL;PERACENSE;14942.0;MHz;240;-2712437310.0;42939811580.0
8579025;TETE-1700176;ARAGÓN;TERUEL;ESCUCHA;14910.5;MHz;240;-2712437310.0;42939811580.0
8593690;TETE-1700176;ARAGÓN;TERUEL;GARGALLO;15330.5;MHz;240;-2712437310.0;42939811580.0
8608355;TETE-1800161;ARAGÓN;TERUEL;PUEBLA DE VALVERDE (LA);6152.75;MHz;240;-2712437310.0;42939811580.0
8623020;TETE-1800161;ARAGÓN;TERUEL;TERUEL;6404.79;MHz;240;-2712437310.0;42939811580.0
8637685;TETE-1800161;ARAGÓN;TERUEL;TERUEL;22302.0;MHz;240;-2712437310.0;42939811580.0
8652350;TETE-1800161;ARAGÓN;TERUEL;TERUEL;23310.0;MHz;240;-2712437310.0;42939811580.0
8667015;TETE-1900307;ARAGÓN;TERUEL;TERUEL;75750.0;MHz;240;-2712437310.0;42939811580.0
8681680;TETE-1900307;ARAGÓN;TERUEL;TERUEL;85750.0;MHz;240;-2712437310.0;42939811580.0
8696345;TETE-2000003;ARAGÓN;TERUEL;EJULVE;14910.5;MHz;240;-2712437310.0;42939811580.0
8711010;TETE-2000003;ARAGÓN;TERUEL;GARGALLO;15330.5;MHz;240;-2712437310.0;42939811580.0
8725675;TETE-2000027;ARAGÓN;TERUEL;MORA DE RUBIELOS;14910.5;MHz;240;-2712437310.0;42939811580.0
8740340;TETE-2000027;ARAGÓN;TERUEL;PUEBLA DE VALVERDE (LA);15330.5;MHz;240;-2712437310.0;42939811580.0
8755005;TETE-2000035;ARAGÓN;TERUEL;TERUEL;22190.0;MHz;240;-2712437310.0;42939811580.0
8769670;TETE-2000035;ARAGÓN;TERUEL;TERUEL;23198.0;MHz;240;-2712437310.0;42939811580.0
8784335;DGGC-9200090;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);5974.85;MHz;240;-2712437310.0;42939811580.0
8799000;DGGC-9200090;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);6034.15;MHz;240;-2712437310.0;42939811580.0
8813665;DGGC-9200090;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);6093.45;MHz;240;-2712437310.0;42939811580.0
8828330;DGGC-9200090;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);6152.75;MHz;240;-2712437310.0;42939811580.0
8842995;DGGC-9200090;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6226.89;MHz;240;-2712437310.0;42939811580.0
8857660;DGGC-9200090;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6286.19;MHz;240;-2712437310.0;42939811580.0
8872325;DGGC-9200090;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6345.49;MHz;240;-2712437310.0;42939811580.0
8886990;DGGC-9200090;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6404.79;MHz;240;-2712437310.0;42939811580.0
8901655;DGTF-8832599;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);867.3;MHz;240;-2712437310.0;42939811580.0
8916320;GCGC-0700004;CANARIAS;PALMAS (LAS);HARIA;14977.0;MHz;240;-2712437310.0;42939811580.0
8930985;GCGC-0700004;CANARIAS;PALMAS (LAS);HARIA;22190.0;MHz;240;-2712437310.0;42939811580.0
8945650;GCGC-0700004;CANARIAS;PALMAS (LAS);HARIA;23198.0;MHz;240;-2712437310.0;42939811580.0
8960315;GCGC-0700004;CANARIAS;PALMAS (LAS);SAN BARTOLOME;14739.0;MHz;240;-2712437310.0;42939811580.0
8974980;GCGC-0700004;CANARIAS;PALMAS (LAS);SAN BARTOLOME;22113.0;MHz;240;-2712437310.0;42939811580.0
8989647;GCGC-0700004;CANARIAS;PALMAS (LAS);TINAJO;14557.0;MHz;1450;-3000073260.0;43054277760.0
9004312;GCGC-0700004;CANARIAS;PALMAS (LAS);TINAJO;23121.0;MHz;1450;-3000073260.0;43054277760.0
9018977;GCGC-0700004;CANARIAS;PALMAS (LAS);YAIZA;15159.0;MHz;1450;-3000073260.0;43054277760.0
9033640;GCGC-0700131;CANARIAS;PALMAS (LAS);AGAETE;22190.0;MHz;240;-2712437310.0;42939811580.0
9048305;GCGC-0700131;CANARIAS;PALMAS (LAS);AGUIMES;14963.0;MHz;240;-2712437310.0;42939811580.0
9062970;GCGC-0700131;CANARIAS;PALMAS (LAS);AGUIMES;19480.0;MHz;240;-2712437310.0;42939811580.0
9077635;GCGC-0700131;CANARIAS;PALMAS (LAS);AGUIMES;22106.0;MHz;240;-2712437310.0;42939811580.0
9092300;GCGC-0700131;CANARIAS;PALMAS (LAS);AGUIMES;23114.0;MHz;240;-2712437310.0;42939811580.0
9106965;GCGC-0700131;CANARIAS;PALMAS (LAS);GALDAR;15019.0;MHz;240;-2712437310.0;42939811580.0
9121630;GCGC-0700131;CANARIAS;PALMAS (LAS);GALDAR;23198.0;MHz;240;-2712437310.0;42939811580.0
9136295;GCGC-0700131;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;14543.0;MHz;240;-2712437310.0;42939811580.0
9150960;GCGC-0700131;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;14599.0;MHz;240;-2712437310.0;42939811580.0
9165625;GCGC-0700131;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;18470.0;MHz;240;-2712437310.0;42939811580.0
9180290;GCGC-0700132;CANARIAS;PALMAS (LAS);PAJARA;14571.0;MHz;240;-2712437310.0;42939811580.0
9194955;GCGC-0700132;CANARIAS;PALMAS (LAS);PAJARA;14991.0;MHz;240;-2712437310.0;42939811580.0
9209620;GCGC-0700329;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);7610.0;MHz;240;-2712437310.0;42939811580.0
9224285;GCGC-0700329;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;7456.0;MHz;240;-2712437310.0;42939811580.0
9238950;GCGC-0900175;CANARIAS;PALMAS (LAS);ARRECIFE;18.305;GHz;240;-2712437310.0;42939811580.0
9253615;GCGC-0900175;CANARIAS;PALMAS (LAS);ARRECIFE;18.47;GHz;240;-2712437310.0;42939811580.0
9268280;GCGC-0900175;CANARIAS;PALMAS (LAS);SAN BARTOLOME;19.315;GHz;240;-2712437310.0;42939811580.0
9282945;GCGC-0900175;CANARIAS;PALMAS (LAS);SAN BARTOLOME;19.48;GHz;240;-2712437310.0;42939811580.0
9297610;GCGC-0900184;CANARIAS;PALMAS (LAS);MOGAN;15.019;GHz;240;-2712437310.0;42939811580.0
9312275;GCGC-0900184;CANARIAS;PALMAS (LAS);MOGAN;18.525;GHz;240;-2712437310.0;42939811580.0
9326940;GCGC-0900184;CANARIAS;PALMAS (LAS);MOGAN;19.535;GHz;240;-2712437310.0;42939811580.0
9341605;GCGC-0900184;CANARIAS;PALMAS (LAS);MOGAN;22.106;GHz;240;-2712437310.0;42939811580.0
9356270;GCGC-0900184;CANARIAS;PALMAS (LAS);MOGAN;22.19;GHz;240;-2712437310.0;42939811580.0
9370935;GCGC-0900184;CANARIAS;PALMAS (LAS);MOGAN;23.114;GHz;240;-2712437310.0;42939811580.0
9385600;GCGC-0900184;CANARIAS;PALMAS (LAS);MOGAN;23.198;GHz;240;-2712437310.0;42939811580.0
9400265;GCGC-0900184;CANARIAS;PALMAS (LAS);MOGAN;37.184;GHz;240;-2712437310.0;42939811580.0
9414930;GCGC-0900184;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;38.444;GHz;240;-2712437310.0;42939811580.0
9429595;GCGC-0900184;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;14.599;GHz;240;-2712437310.0;42939811580.0
9444260;GCGC-1000140;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);37.107;GHz;240;-2712437310.0;42939811580.0
9458925;GCGC-1000140;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);38.367;GHz;240;-2712437310.0;42939811580.0
9473590;GCGC-1100147;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);6800.0;MHz;240;-2712437310.0;42939811580.0
9488255;GCGC-1100147;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);6840.0;MHz;240;-2712437310.0;42939811580.0
9502920;GCGC-1100147;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);7040.0;MHz;240;-2712437310.0;42939811580.0
9517585;GCGC-1100147;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);7080.0;MHz;240;-2712437310.0;42939811580.0
9532250;GCGC-1100147;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6460.0;MHz;240;-2712437310.0;42939811580.0
9546915;GCGC-1100147;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6500.0;MHz;240;-2712437310.0;42939811580.0
9561580;GCGC-1100147;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6700.0;MHz;240;-2712437310.0;42939811580.0
9576245;GCGC-1100147;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6740.0;MHz;240;-2712437310.0;42939811580.0
9590910;GCGC-1100236;CANARIAS;PALMAS (LAS);MOGAN;13.031;GHz;240;-2712437310.0;42939811580.0
9605575;GCGC-1100236;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;12.765;GHz;240;-2712437310.0;42939811580.0
9620240;GCGC-1100311;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);38.101;GHz;240;-2712437310.0;42939811580.0
9634905;GCGC-1100311;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);39.361;GHz;240;-2712437310.0;42939811580.0
9649570;GCGC-1200312;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;15.159;GHz;240;-2712437310.0;42939811580.0
9664235;GCGC-1200312;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;14.739;GHz;240;-2712437310.0;42939811580.0
9678900;GCGC-1200545;CANARIAS;PALMAS (LAS);AGUIMES;19562.5;MHz;240;-2712437310.0;42939811580.0
9693565;GCGC-1200545;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;18552.5;MHz;240;-2712437310.0;42939811580.0
9708230;GCGC-1200545;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;19562.5;MHz;240;-2712437310.0;42939811580.0
9722903;GCGC-1200545;CANARIAS;PALMAS (LAS);TELDE;19631.25;MHz;1474;-3127917180.0;43120843580.0
9737560;GCGC-1200545;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;18552.5;MHz;240;-2712437310.0;42939811580.0
9752225;GCGC-1200545;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;18621.25;MHz;240;-2712437310.0;42939811580.0
9766890;GCGC-1200705;CANARIAS;PALMAS (LAS);SAN BARTOLOME;14.907;GHz;240;-2712437310.0;42939811580.0
9781555;GCGC-1200705;CANARIAS;PALMAS (LAS);SAN BARTOLOME;14.914;GHz;240;-2712437310.0;42939811580.0
9796222;GCGC-1200705;CANARIAS;PALMAS (LAS);YAIZA;15.327;GHz;1450;-3000073260.0;43054277760.0
9810887;GCGC-1200705;CANARIAS;PALMAS (LAS);YAIZA;15.334;GHz;1450;-3000073260.0;43054277760.0
9825550;GCGC-1200706;CANARIAS;PALMAS (LAS);ARRECIFE;23.198;GHz;240;-2712437310.0;42939811580.0
9840215;GCGC-1200706;CANARIAS;PALMAS (LAS);ARRECIFE;23.366;GHz;240;-2712437310.0;42939811580.0
9854880;GCGC-1200706;CANARIAS;PALMAS (LAS);ARRECIFE;23.534;GHz;240;-2712437310.0;42939811580.0
9869545;GCGC-1200706;CANARIAS;PALMAS (LAS);SAN BARTOLOME;22.19;GHz;240;-2712437310.0;42939811580.0
9884210;GCGC-1200706;CANARIAS;PALMAS (LAS);SAN BARTOLOME;22.358;GHz;240;-2712437310.0;42939811580.0
9898875;GCGC-1200706;CANARIAS;PALMAS (LAS);SAN BARTOLOME;22.526;GHz;240;-2712437310.0;42939811580.0
9913540;GCGC-1300002;CANARIAS;PALMAS (LAS);ARRECIFE;39.3295;GHz;240;-2712437310.0;42939811580.0
9928205;GCGC-1300002;CANARIAS;PALMAS (LAS);SAN BARTOLOME;38.0695;GHz;240;-2712437310.0;42939811580.0
9942870;GCGC-1300012;CANARIAS;PALMAS (LAS);GALDAR;13.199;GHz;240;-2712437310.0;42939811580.0
9957535;GCGC-1300012;CANARIAS;PALMAS (LAS);MOGAN;12.793;GHz;240;-2712437310.0;42939811580.0
9972200;GCGC-1300012;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;13.059;GHz;240;-2712437310.0;42939811580.0
9986865;GCGC-1300012;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;12.793;GHz;240;-2712437310.0;42939811580.0
10001530;GCGC-1300012;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;12.933;GHz;240;-2712437310.0;42939811580.0
10016195;GCGC-1300045;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);37.422;GHz;240;-2712437310.0;42939811580.0
10030860;GCGC-1300045;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);37.478;GHz;240;-2712437310.0;42939811580.0
10045525;GCGC-1300045;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);37.534;GHz;240;-2712437310.0;42939811580.0
10060190;GCGC-1300045;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);37.59;GHz;240;-2712437310.0;42939811580.0
10074855;GCGC-1300045;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);38.682;GHz;240;-2712437310.0;42939811580.0
10089520;GCGC-1300045;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);38.738;GHz;240;-2712437310.0;42939811580.0
10104185;GCGC-1300045;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);38.794;GHz;240;-2712437310.0;42939811580.0
10118850;GCGC-1300045;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);38.85;GHz;240;-2712437310.0;42939811580.0
10133515;GCGC-1300053;CANARIAS;PALMAS (LAS);MOGAN;22.302;GHz;240;-2712437310.0;42939811580.0
10148180;GCGC-1300053;CANARIAS;PALMAS (LAS);MOGAN;22.358;GHz;240;-2712437310.0;42939811580.0
10162845;GCGC-1300053;CANARIAS;PALMAS (LAS);MOGAN;23.31;GHz;240;-2712437310.0;42939811580.0
10177510;GCGC-1300053;CANARIAS;PALMAS (LAS);MOGAN;23.366;GHz;240;-2712437310.0;42939811580.0
10192175;GCGC-1300057;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);8073.845;MHz;240;-2712437310.0;42939811580.0
10206840;GCGC-1300057;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);8133.145;MHz;240;-2712437310.0;42939811580.0
10221505;GCGC-1300057;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);8192.445;MHz;240;-2712437310.0;42939811580.0
10236170;GCGC-1300057;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);8251.745;MHz;240;-2712437310.0;42939811580.0
10250835;GCGC-1300057;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;7762.525;MHz;240;-2712437310.0;42939811580.0
10265500;GCGC-1300057;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;7821.825;MHz;240;-2712437310.0;42939811580.0
10280165;GCGC-1300057;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;7881.125;MHz;240;-2712437310.0;42939811580.0
10294830;GCGC-1300057;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;7940.425;MHz;240;-2712437310.0;42939811580.0
10309495;GCGC-1300139;CANARIAS;PALMAS (LAS);AGUIMES;38.08;GHz;240;-2712437310.0;42939811580.0
10324160;GCGC-1300139;CANARIAS;PALMAS (LAS);AGUIMES;39.34;GHz;240;-2712437310.0;42939811580.0
10338825;GCGC-1300169;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);37.0755;GHz;240;-2712437310.0;42939811580.0
10353490;GCGC-1300169;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);38.3355;GHz;240;-2712437310.0;42939811580.0
10368155;GCGC-1400475;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);37.0685;GHz;240;-2712437310.0;42939811580.0
10382820;GCGC-1400475;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);38.3285;GHz;240;-2712437310.0;42939811580.0
10397485;GCGC-1400531;CANARIAS;PALMAS (LAS);PAJARA;7040.0;MHz;240;-2712437310.0;42939811580.0
10412150;GCGC-1400531;CANARIAS;PALMAS (LAS);PAJARA;7070.0;MHz;240;-2712437310.0;42939811580.0
10426815;GCGC-1400531;CANARIAS;PALMAS (LAS);PAJARA;7100.0;MHz;240;-2712437310.0;42939811580.0
10441480;GCGC-1400531;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6700.0;MHz;240;-2712437310.0;42939811580.0
10456145;GCGC-1400531;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6730.0;MHz;240;-2712437310.0;42939811580.0
10470810;GCGC-1400531;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6760.0;MHz;240;-2712437310.0;42939811580.0
10485475;GCGC-1500190;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);72.75;GHz;240;-2712437310.0;42939811580.0
10500140;GCGC-1500190;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);82.75;GHz;240;-2712437310.0;42939811580.0
10514805;GCGC-1500297;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);72.5;GHz;240;-2712437310.0;42939811580.0
10529470;GCGC-1500297;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);82.5;GHz;240;-2712437310.0;42939811580.0
10544135;GCGC-1500299;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);72.75;GHz;240;-2712437310.0;42939811580.0
10558800;GCGC-1500299;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);82.75;GHz;240;-2712437310.0;42939811580.0
10573465;GCGC-1500300;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);72.5;GHz;240;-2712437310.0;42939811580.0
10588130;GCGC-1500300;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);82.5;GHz;240;-2712437310.0;42939811580.0
10602795;GCGC-1500301;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);72.5;GHz;240;-2712437310.0;42939811580.0
10617460;GCGC-1500301;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);82.5;GHz;240;-2712437310.0;42939811580.0
10632125;GCGC-1500309;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);72.5;GHz;240;-2712437310.0;42939811580.0
10646790;GCGC-1500309;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);82.5;GHz;240;-2712437310.0;42939811580.0
10661455;GCGC-1500312;CANARIAS;PALMAS (LAS);ARUCAS;18765.0;MHz;240;-2712437310.0;42939811580.0
10676120;GCGC-1500312;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);17755.0;MHz;240;-2712437310.0;42939811580.0
10690785;GCGC-1500805;CANARIAS;PALMAS (LAS);PUERTO DEL ROSARIO;18.6595;GHz;240;-2712437310.0;42939811580.0
10705450;GCGC-1500805;CANARIAS;PALMAS (LAS);PUERTO DEL ROSARIO;19.6695;GHz;240;-2712437310.0;42939811580.0
10720115;GCGC-1500805;CANARIAS;PALMAS (LAS);SAN BARTOLOME;37.0825;GHz;240;-2712437310.0;42939811580.0
10734780;GCGC-1500805;CANARIAS;PALMAS (LAS);SAN BARTOLOME;38.3425;GHz;240;-2712437310.0;42939811580.0
10749445;GCGC-1500890;CANARIAS;PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);7694.0;MHz;240;-2712437310.0;42939811580.0
10764110;GCGC-1500890;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;7540.0;MHz;240;-2712437310.0;42939811580.0
10778775;GCGC-1600343;CANARIAS;PALMAS (LAS);ARRECIFE;17810.0;MHz;240;-2712437310.0;42939811580.0
10793440;GCGC-1600343;CANARIAS;PALMAS (LAS);SAN BARTOLOME;18820.0;MHz;240;-2712437310.0;42939811580.0
10808105;GCGC-1600357;CANARIAS;PALMAS (LAS);ANTIGUA;6700.0;MHz;240;-2712437310.0;42939811580.0
10822770;GCGC-1600357;CANARIAS;PALMAS (LAS);ANTIGUA;6760.0;MHz;240;-2712437310.0;42939811580.0
10837435;GCGC-1600357;CANARIAS;PALMAS (LAS);ANTIGUA;8073.845;MHz;240;-2712437310.0;42939811580.0
10852100;GCGC-1600357;CANARIAS;PALMAS (LAS);ANTIGUA;8133.145;MHz;240;-2712437310.0;42939811580.0
10866765;GCGC-1600357;CANARIAS;PALMAS (LAS);PAJARA;7762.525;MHz;240;-2712437310.0;42939811580.0
10881430;GCGC-1600357;CANARIAS;PALMAS (LAS);PAJARA;7821.825;MHz;240;-2712437310.0;42939811580.0
10896095;GCGC-1600357;CANARIAS;PALMAS (LAS);PAJARA;22358.0;MHz;240;-2712437310.0;42939811580.0
10910760;GCGC-1600357;CANARIAS;PALMAS (LAS);PAJARA;22526.0;MHz;240;-2712437310.0;42939811580.0
10925425;GCGC-1600357;CANARIAS;PALMAS (LAS);PAJARA;23366.0;MHz;240;-2712437310.0;42939811580.0
10940090;GCGC-1600357;CANARIAS;PALMAS (LAS);PAJARA;23534.0;MHz;240;-2712437310.0;42939811580.0
10954755;GCGC-1600357;CANARIAS;PALMAS (LAS);PUERTO DEL ROSARIO;7040.0;MHz;240;-2712437310.0;42939811580.0
10969420;GCGC-1600357;CANARIAS;PALMAS (LAS);PUERTO DEL ROSARIO;7100.0;MHz;240;-2712437310.0;42939811580.0
10984085;GCGC-1600358;CANARIAS;PALMAS (LAS);PUERTO DEL ROSARIO;18030.0;MHz;240;-2712437310.0;42939811580.0
10998750;GCGC-1600358;CANARIAS;PALMAS (LAS);PUERTO DEL ROSARIO;19040.0;MHz;240;-2712437310.0;42939811580.0
11013415;GCGC-1600544;CANARIAS;PALMAS (LAS);AGUIMES;7638.0;MHz;240;-2712437310.0;42939811580.0
11028080;GCGC-1600544;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;5945.2;MHz;240;-2712437310.0;42939811580.0
11042753;GCGC-1600544;CANARIAS;PALMAS (LAS);TELDE;18875.0;MHz;1474;-3127917180.0;43120843580.0
11057410;GCGC-1600544;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;6197.24;MHz;240;-2712437310.0;42939811580.0
11072075;GCGC-1600544;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;7484.0;MHz;240;-2712437310.0;42939811580.0
11086740;GCGC-1600544;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;17865.0;MHz;240;-2712437310.0;42939811580.0
11101405;GCGC-1600591;CANARIAS;PALMAS (LAS);OLIVA (LA);14739.0;MHz;240;-2712437310.0;42939811580.0
11116072;GCGC-1600591;CANARIAS;PALMAS (LAS);YAIZA;15159.0;MHz;1450;-3000073260.0;43054277760.0
11130735;GCGC-1700017;CANARIAS;PALMAS (LAS);ARRECIFE;17865.0;MHz;240;-2712437310.0;42939811580.0
11145400;GCGC-1700017;CANARIAS;PALMAS (LAS);ARRECIFE;18085.0;MHz;240;-2712437310.0;42939811580.0
11160065;GCGC-1700017;CANARIAS;PALMAS (LAS);SAN BARTOLOME;18875.0;MHz;240;-2712437310.0;42939811580.0
11174730;GCGC-1700017;CANARIAS;PALMAS (LAS);SAN BARTOLOME;19095.0;MHz;240;-2712437310.0;42939811580.0
11189395;GCGC-1700079;CANARIAS;PALMAS (LAS);PUERTO DEL ROSARIO;22116.5;MHz;240;-2712437310.0;42939811580.0
11204060;GCGC-1700079;CANARIAS;PALMAS (LAS);PUERTO DEL ROSARIO;23124.5;MHz;240;-2712437310.0;42939811580.0
11218725;GCGC-1700143;CANARIAS;PALMAS (LAS);ARRECIFE;18250.0;MHz;240;-2712437310.0;42939811580.0
11233390;GCGC-1700143;CANARIAS;PALMAS (LAS);TIAS;19260.0;MHz;240;-2712437310.0;42939811580.0
11248055;GCGC-1700353;CANARIAS;PALMAS (LAS);ARRECIFE;18360.0;MHz;240;-2712437310.0;42939811580.0
11262720;GCGC-1700353;CANARIAS;PALMAS (LAS);SAN BARTOLOME;19370.0;MHz;240;-2712437310.0;42939811580.0
11277385;GCGC-1700407;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;37061.5;MHz;240;-2712437310.0;42939811580.0
11292050;GCGC-1700407;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;37065.0;MHz;240;-2712437310.0;42939811580.0
11306715;GCGC-1700407;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;38321.5;MHz;240;-2712437310.0;42939811580.0
11321380;GCGC-1700407;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;38325.0;MHz;240;-2712437310.0;42939811580.0
11336045;GCGC-1700408;CANARIAS;PALMAS (LAS);ARRECIFE;23198.0;MHz;240;-2712437310.0;42939811580.0
11350710;GCGC-1700408;CANARIAS;PALMAS (LAS);TIAS;22190.0;MHz;240;-2712437310.0;42939811580.0
11365375;GCGC-1700610;CANARIAS;PALMAS (LAS);SAN BARTOLOME;37110.5;MHz;240;-2712437310.0;42939811580.0
11380040;GCGC-1700610;CANARIAS;PALMAS (LAS);SAN BARTOLOME;38370.5;MHz;240;-2712437310.0;42939811580.0
11394705;GCGC-1800247;CANARIAS;PALMAS (LAS);INGENIO;19480.0;MHz;240;-2712437310.0;42939811580.0
11409370;GCGC-1800247;CANARIAS;PALMAS (LAS);VEGA DE SAN MATEO;18470.0;MHz;240;-2712437310.0;42939811580.0
11424035;GCGC-1800248;CANARIAS;PALMAS (LAS);HARIA;37068.5;MHz;240;-2712437310.0;42939811580.0
11438700;GCGC-1800248;CANARIAS;PALMAS (LAS);HARIA;38328.5;MHz;240;-2712437310.0;42939811580.0
11453365;GCGC-1800404;CANARIAS;PALMAS (LAS);ARRECIFE;72500.0;MHz;240;-2712437310.0;42939811580.0
11468030;GCGC-1800404;CANARIAS;PALMAS (LAS);ARRECIFE;72750.0;MHz;240;-2712437310.0;42939811580.0
11482695;GCGC-1800404;CANARIAS;PALMAS (LAS);ARRECIFE;82500.0;MHz;240;-2712437310.0;42939811580.0
11497360;GCGC-1800404;CANARIAS;PALMAS (LAS);ARRECIFE;82750.0;MHz;240;-2712437310.0;42939811580.0
11512025;GCGC-1800544;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;72500.0;MHz;240;-2712437310.0;42939811580.0
11526690;GCGC-1800544;CANARIAS;PALMAS (LAS);SAN BARTOLOME DE TIRAJANA;82500.0;MHz;240;-2712437310.0;42939811580.0
11541355;GCGC-1800887;CANARIAS;PALMAS (LAS);TIAS;19260.0;MHz;240;-2712437310.0;42939811580.0
