:Referencia:Titular:NIF/CIF:Domicilio social:Localidad:Provincia_x:C. Postal:F. Concesion:F. Caducidad:Susceptible cesion:Susceptible mutualizacion:Obtenido por transferencia:dia_concesion:mes_concesion:año_concesion:Comunidad:Provincia_y:Municipio:Frequencias:Tipo:codigopostalid:lat:lon
21:ALAL-1100049:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2011-06-20:2026-12-31:True:False:False:5673:473:16:ANDALUCÍA:ALMERÍA:TABERNAS:13031.0:MHz:240.0:-2712437310.0:42939811580.0
22:ALAL-1100050:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2011-05-07:2026-12-31:True:False:False:5717:476:16:ANDALUCÍA:ALMERÍA:ALMERIA:12.793:GHz:240.0:-2712437310.0:42939811580.0
23:ALAL-1100050:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2011-05-07:2026-12-31:True:False:False:5717:476:16:ANDALUCÍA:ALMERÍA:PECHINA:13.059:GHz:1474.0:-3127917180.0:43120843580.0
24:ALAL-1200070:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-08-22:2022-12-31:True:False:False:3783:315:11:ANDALUCÍA:ALMERÍA:ALMERIA:19535.0:MHz:240.0:-2712437310.0:42939811580.0
25:ALAL-1200070:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-08-22:2022-12-31:True:False:False:3783:315:11:ANDALUCÍA:ALMERÍA:PECHINA:18525.0:MHz:1474.0:-3127917180.0:43120843580.0
26:ALAL-1200175:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-01-10:2022-12-31:True:False:False:4008:334:11:ANDALUCÍA:ALMERÍA:ALMERIA:37324.0:MHz:240.0:-2712437310.0:42939811580.0
27:ALAL-1200175:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-01-10:2022-12-31:True:False:False:4008:334:11:ANDALUCÍA:ALMERÍA:ALMERIA:38584.0:MHz:240.0:-2712437310.0:42939811580.0
28:ALAL-1200176:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-01-10:2022-12-31:True:False:False:4008:334:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:37324.0:MHz:240.0:-2712437310.0:42939811580.0
29:ALAL-1200176:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2012-01-10:2022-12-31:True:False:False:4008:334:11:ANDALUCÍA:ALMERÍA:VICAR:38584.0:MHz:1450.0:-3000073260.0:43054277760.0
30:ALAL-1200194:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-08-01:2023-12-31:True:False:False:3804:317:11:ANDALUCÍA:ALMERÍA:ALMERIA:18645.5:MHz:240.0:-2712437310.0:42939811580.0
31:ALAL-1200194:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-08-01:2023-12-31:True:False:False:3804:317:11:ANDALUCÍA:ALMERÍA:ALMERIA:19655.5:MHz:240.0:-2712437310.0:42939811580.0
32:ALAL-1200194:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-08-01:2023-12-31:True:False:False:3804:317:11:ANDALUCÍA:ALMERÍA:EJIDO (EL):18593.75:MHz:240.0:-2712437310.0:42939811580.0
33:ALAL-1200194:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-08-01:2023-12-31:True:False:False:3804:317:11:ANDALUCÍA:ALMERÍA:FELIX:19603.75:MHz:240.0:-2712437310.0:42939811580.0
34:ALAL-1200308:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2013-11-02:2023-12-31:True:False:False:3711:309:10:ANDALUCÍA:ALMERÍA:MACAEL:38584.0:MHz:240.0:-2712437310.0:42939811580.0
35:ALAL-1200308:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2013-11-02:2023-12-31:True:False:False:3711:309:10:ANDALUCÍA:ALMERÍA:OLULA DEL RIO:37324.0:MHz:240.0:-2712437310.0:42939811580.0
36:ALAL-1200341:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-09-05:2023-12-31:True:False:False:3769:314:10:ANDALUCÍA:ALMERÍA:ALMERIA:12.933:GHz:240.0:-2712437310.0:42939811580.0
37:ALAL-1200341:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-09-05:2023-12-31:True:False:False:3769:314:10:ANDALUCÍA:ALMERÍA:PECHINA:13.199:GHz:1474.0:-3127917180.0:43120843580.0
38:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:8251.745:MHz:240.0:-2712437310.0:42939811580.0
39:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:29298.5:MHz:240.0:-2712437310.0:42939811580.0
40:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:HUERCAL-OVERA:28290.5:MHz:240.0:-2712437310.0:42939811580.0
41:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:LUBRIN:7940.425:MHz:240.0:-2712437310.0:42939811580.0
42:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:LUBRIN:12765.0:MHz:240.0:-2712437310.0:42939811580.0
43:ALAL-1300059:XFERA MOVILES, S.A.U.:A82528548:AVDA BRUSELAS, 38.:MADRID:MADRID:28108:2013-03-21:2023-12-31:True:False:False:3937:328:11:ANDALUCÍA:ALMERÍA:TABERNAS:13031.0:MHz:240.0:-2712437310.0:42939811580.0
44:ALAL-1300196:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-04-07:2023-12-31:True:False:False:3920:327:11:ANDALUCÍA:ALMERÍA:ALMERIA:22.106:GHz:240.0:-2712437310.0:42939811580.0
45:ALAL-1300196:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-04-07:2023-12-31:True:False:False:3920:327:11:ANDALUCÍA:ALMERÍA:ALMERIA:22.19:GHz:240.0:-2712437310.0:42939811580.0
46:ALAL-1300196:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-04-07:2023-12-31:True:False:False:3920:327:11:ANDALUCÍA:ALMERÍA:ALMERIA:22.358:GHz:240.0:-2712437310.0:42939811580.0
47:ALAL-1300196:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-04-07:2023-12-31:True:False:False:3920:327:11:ANDALUCÍA:ALMERÍA:ALMERIA:22.526:GHz:240.0:-2712437310.0:42939811580.0
48:ALAL-1300196:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-04-07:2023-12-31:True:False:False:3920:327:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:23.114:GHz:240.0:-2712437310.0:42939811580.0
49:ALAL-1300196:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-04-07:2023-12-31:True:False:False:3920:327:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:23.198:GHz:240.0:-2712437310.0:42939811580.0
50:ALAL-1300196:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-04-07:2023-12-31:True:False:False:3920:327:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:23.366:GHz:240.0:-2712437310.0:42939811580.0
51:ALAL-1300196:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-04-07:2023-12-31:True:False:False:3920:327:11:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:23.534:GHz:240.0:-2712437310.0:42939811580.0
52:ALAL-1300228:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-02-09:2023-12-31:True:False:False:3977:331:11:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:15.019:GHz:240.0:-2712437310.0:42939811580.0
53:ALAL-1300228:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-02-09:2023-12-31:True:False:False:3977:331:11:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:15.327:GHz:240.0:-2712437310.0:42939811580.0
54:ALAL-1300228:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-02-09:2023-12-31:True:False:False:3977:331:11:ANDALUCÍA:ALMERÍA:CUEVAS DEL ALMANZORA:15.334:GHz:240.0:-2712437310.0:42939811580.0
55:ALAL-1300228:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-02-09:2023-12-31:True:False:False:3977:331:11:ANDALUCÍA:ALMERÍA:LUBRIN:14.599:GHz:240.0:-2712437310.0:42939811580.0
56:ALAL-1300228:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-02-09:2023-12-31:True:False:False:3977:331:11:ANDALUCÍA:ALMERÍA:LUBRIN:14.907:GHz:240.0:-2712437310.0:42939811580.0
57:ALAL-1300228:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-02-09:2023-12-31:True:False:False:3977:331:11:ANDALUCÍA:ALMERÍA:LUBRIN:14.914:GHz:240.0:-2712437310.0:42939811580.0
58:ALAL-1300386:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2013-10-23:2023-12-31:True:False:False:3721:310:10:ANDALUCÍA:ALMERÍA:EJIDO (EL):28962.5:MHz:240.0:-2712437310.0:42939811580.0
59:ALAL-1300386:XFERA MOVILES SA:A82528548:AVDA BRUSELAS, 38.:ALCOBENDAS:MADRID:28108:2013-10-23:2023-12-31:True:False:False:3721:310:10:ANDALUCÍA:ALMERÍA:ROQUETAS DE MAR:27954.5:MHz:240.0:-2712437310.0:42939811580.0
60:ALAL-1300389:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-10-24:2023-12-31:True:False:False:3720:310:10:ANDALUCÍA:ALMERÍA:ALMERIA:14.907:GHz:240.0:-2712437310.0:42939811580.0
61:ALAL-1300389:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-10-24:2023-12-31:True:False:False:3720:310:10:ANDALUCÍA:ALMERÍA:ALMERIA:14.914:GHz:240.0:-2712437310.0:42939811580.0
62:ALAL-1300389:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-10-24:2023-12-31:True:False:False:3720:310:10:ANDALUCÍA:ALMERÍA:PECHINA:15.327:GHz:1474.0:-3127917180.0:43120843580.0
63:ALAL-1300389:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-10-24:2023-12-31:True:False:False:3720:310:10:ANDALUCÍA:ALMERÍA:PECHINA:15.334:GHz:1474.0:-3127917180.0:43120843580.0
64:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:ALMERIA:6860.0:MHz:240.0:-2712437310.0:42939811580.0
65:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:ALMERIA:6890.0:MHz:240.0:-2712437310.0:42939811580.0
66:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:ALMERIA:6920.0:MHz:240.0:-2712437310.0:42939811580.0
67:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:ALMERIA:6950.0:MHz:240.0:-2712437310.0:42939811580.0
68:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:ALMERIA:6980.0:MHz:240.0:-2712437310.0:42939811580.0
69:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:ALMERIA:7010.0:MHz:240.0:-2712437310.0:42939811580.0
70:ALAL-1300395:VODAFONE ONO, S.A.:A62186556:AV AMERICA, 115:MADRID:MADRID:28042:2013-05-11:2023-12-31:True:False:False:3886:324:11:ANDALUCÍA:ALMERÍA:PECHINA:6520.0:MHz:1474.0:-3127917180.0:43120843580.0
