;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia_x;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion;Comunidad;Provincia_y;Municipio;Frequencias;Tipo;codigopostalid;lat;lon;brand_sort;score_sort;match_sort;ratio
11810;ALAL-1400055;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2024-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;27968.5;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
12024;ALAL-1400056;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2014-05-05;2024-12-31;True;False;False;3893;324;11;ANDALUCÍA;ALMERÍA;ROQUETAS DE MAR;28192.5;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
12238;ALAL-1400107;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;;2024-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;EJIDO (EL);19562.5;MHz;240.0;-2712437310.0;42939811580.0;XFERA MOVILES S.A.;94;XFERA MOVILES, S.A.U.;86
12629;ALAL-1400139;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-12-05;2024-12-31;True;False;False;3679;307;10;ANDALUCÍA;ALMERÍA;DALIAS;39.34;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
12843;ALAL-1400152;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2024-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;LUBRIN;14.599;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
13271;ALAL-1400218;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2024-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;NIJAR;7881.125;MHz;1450.0;-3000073260.0;43054277760.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
13485;ALAL-1400237;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2024-12-31;True;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ALMERIA;7762.525;MHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
14127;ALAL-1400250;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-10-10;2024-12-31;True;False;False;3735;311;10;ANDALUCÍA;ALMERÍA;CUEVAS DEL ALMANZORA;15.327;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
14586;ALAL-1400252;SPOTTING BRANDS TECHNOLOGIES, S.L.;B86779584;AV BRUSELAS (DE), 38;ALCOBENDAS;MADRID;28108;;2024-12-31;True;False;True;0;0;0;ANDALUCÍA;ALMERÍA;MOJACAR;19370.0;MHz;1450.0;-3000073260.0;43054277760.0;FREE TECHNOLOGIES-EXCOM SL;94;FREE TECHNOLOGIES-EXCOM, S.L.;61
14769;ALAL-1400260;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-04-11;2024-12-31;True;False;False;3917;326;11;ANDALUCÍA;ALMERÍA;ALMERIA;18.82;GHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
14983;ALAL-1500110;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;;2025-12-31;False;False;False;0;0;0;ANDALUCÍA;ALMERÍA;ALMERIA;7610.0;MHz;240.0;-2712437310.0;42939811580.0;VODAFONE ESPAÑA SA;100;VODAFONE ESPAÑA, SA;73
