;Referencia;Titular;NIF/CIF;Domicilio social;Localidad;Provincia;C. Postal;F. Concesion;F. Caducidad;Susceptible cesion;Susceptible mutualizacion;Obtenido por transferencia;dia_concesion;mes_concesion;año_concesion
1526;M TF-0500224;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2005-10-13;2025-12-31;True;False;False;7384;615;21
1527;M TF-9900375;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIU, 11.;MADRID;MADRID;28007;2001-10-01;2026-12-31;True;False;False;9222;768;26
1529;M TF-9958017;MARQUES BIDCO SL;B88419569;CL PEDRO TEIXEIRA, 8. 6º;MADRID;MADRID;28020;2001-02-28;2026-12-31;True;False;True;9437;786;26
1530;TFTF-0700003;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2007-02-15;2022-12-31;True;False;False;5798;483;16
1531;TFTF-0700004;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2007-05-03;2022-12-31;True;False;False;5721;477;16
1532;TFTF-0700040;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2007-09-13;2022-12-31;True;False;False;5588;466;16
1533;TFTF-0700157;RETEVISION I, S.A.U.;A62275680;CALLE JUAN EPSLANDIÚ, 12.;MADRID;MADRID;28007;2007-11-10;2022-12-31;True;False;False;5530;461;15
1534;TFTF-0900176;RETEVISION I, S.A.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2009-11-11;2024-12-31;True;False;False;5529;461;15
1535;TFTF-0900177;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2009-11-11;2024-12-31;True;False;False;5529;461;15
1536;TFTF-1000146;RETEVISION I, S.A.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2010-01-12;2025-12-31;True;False;False;5832;486;16
1537;TFTF-1100417;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2011-12-09;2026-12-31;True;False;False;5501;458;15
1538;TFTF-1100617;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2012-11-01;2022-12-31;True;False;False;3712;309;10
1540;TFTF-1100620;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2012-11-01;2022-12-31;True;False;False;3712;309;10
1541;TFTF-1200002;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-02-27;2022-12-31;True;False;False;3960;330;11
1542;TFTF-1200640;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-04-02;2023-12-31;True;False;False;3925;327;11
1543;TFTF-1300093;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-09-10;2023-12-31;True;False;False;3764;314;10
1544;TFTF-1300094;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-09-25;2023-12-31;True;False;False;3749;312;10
1545;TFTF-1300138;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-03-02;2024-12-31;True;False;False;3957;330;11
1546;TFTF-1300171;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-03-02;2024-12-31;True;False;False;3957;330;11
1547;TFTF-1300172;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-01-31;2024-12-31;False;False;False;3987;332;11
1548;TFTF-1400086;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-04-14;2024-12-31;True;False;False;3914;326;11
1549;TFTF-1400311;MARQUES BIDCO SL;B88419569;CL PEDRO TEIXEIRA, 8. 6º;MADRID;MADRID;28020;2014-06-30;2024-12-31;True;False;True;3837;320;11
1551;TFTF-1400421;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-09-26;2024-12-31;True;False;False;3749;312;10
1552;TFTF-1400475;BLEND TELECOM, SOCIEDAD LIMITADA;B76060334;CALLE FRANCISCO NAVARRO, 2;LAS PALMAS;PALMAS (LAS);35120;2014-03-11;2024-12-31;True;False;False;3948;329;11
1553;TFTF-1400478;WIFI CANARIAS DE TELECOMUNICACIONES Y FIBRA SL;B38870994;CALLE REYES CATÓLICOS, 22. 1º 20;REALEJO ALTO;SANTA CRUZ DE TENERIFE;38410;2014-11-21;2024-12-31;True;False;False;3693;308;10
1554;TFTF-1400508;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-11-26;2024-12-31;True;False;False;3688;307;10
1555;TFTF-1500238;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-04-27;2025-12-31;True;False;False;3901;325;11
1556;TFTF-1500426;DIFUSION DE TELECOMUNICACIONES DE CANARIAS SL;B38975090;CTRA CAMINO EL DRAGO, LOS BALDIOS, 5.;SAN CRISTOBAL DE LA LAGUNA;SANTA CRUZ DE TENERIFE;38291;2015-07-22;2025-12-31;True;False;False;3815;318;11
1557;TFTF-1500973;RETEVISION I SA;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2015-11-20;2025-12-31;True;False;False;3694;308;10
1558;TFTF-1501030;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2016-01-18;2026-12-31;True;False;False;4000;333;11
1559;TFTF-1600092;FREE TECHNOLOGIES-EXCOM SL;B82999798;VIA AVDA. DE VALDELAPARRA, 27, 1. 2º 4;ALCOBENDAS;MADRID;28108;2016-01-04;2026-12-31;True;False;False;4014;334;11
1560;TFTF-1600280;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2016-06-09;2026-12-31;True;False;False;3857;321;11
1562;TFTF-1600396;RETEVISION I SA;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2016-10-10;2026-12-31;True;False;False;3734;311;10
1563;TFTF-1600455;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2017-10-01;2022-12-31;True;False;False;1917;160;5
1564;TFTF-1700041;INFRAESTRUCTURAS Y SERVICIOS DE TELECOMUNICACIONES CANARIAS 2003 SL;B38722088;CMNO EL DRAGO, 3.;LOS BALDÍOS;SANTA CRUZ DE TENERIFE;38291;2017-01-31;2022-12-31;True;False;False;2160;180;6
1565;TFTF-1700058;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2017-02-20;2022-12-31;True;False;False;2140;178;6
1566;TFTF-1700059;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-02-21;2022-12-31;True;False;False;2139;178;6
1567;TFTF-1700085;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIU, 11.;MADRID;MADRID;28007;2017-06-03;2022-12-31;True;False;False;2037;170;6
1568;TFTF-1700091;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-10-03;2022-12-31;True;False;False;1915;160;5
1569;TFTF-1700189;ORANGE ESPAGNE SA;A82009812;PASEO CLUB DEPORTIVO;POZUELO DE ALARCÓN;MADRID;28223;2017-05-17;2022-12-31;False;False;False;2054;171;6
1570;TFTF-1700285;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2017-06-23;2022-12-31;True;False;False;2017;168;6
1571;TFTF-1700342;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-03-07;2022-12-31;True;False;False;2125;177;6
1573;TFTF-1700384;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-07-16;2022-12-31;True;False;False;1994;166;6
1574;TFTF-1700390;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-07-16;2022-12-31;True;False;False;1994;166;6
1575;TFTF-1700394;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-07-19;2022-12-31;True;False;False;1991;166;6
1576;TFTF-1700480;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2018-08-01;2023-12-31;True;False;False;1978;165;5
1577;TFTF-1700536;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2017-07-12;2022-12-31;True;False;False;1998;166;6
1578;TFTF-1800018;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2018-01-25;2023-12-31;True;False;False;2166;180;6
1580;TFTF-1800068;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2018-03-15;2023-12-31;True;False;False;2117;176;6
1581;TFTF-1800141;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIU, 11.;MADRID;MADRID;28007;2018-03-15;2023-12-31;True;False;False;2117;176;6
1582;TFTF-1800231;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2018-05-16;2023-12-31;True;False;False;2055;171;6
1584;TFTF-1800275;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2018-06-20;2023-12-31;True;False;False;2020;168;6
1585;TFTF-1800284;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2018-03-07;2023-12-31;True;False;False;2125;177;6
1586;TFTF-1800342;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2018-08-20;2023-12-31;True;False;False;1959;163;5
1587;TFTF-1800558;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2019-03-01;2024-12-31;True;False;False;2132;178;6
1588;TFTF-1800582;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2019-03-01;2024-12-31;True;False;False;2132;178;6
1589;TFTF-1800643;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2018-11-27;2023-12-31;True;False;False;1860;155;5
1590;TFTF-1900256;ORANGE ESPAGNE SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2019-10-04;2024-12-31;False;False;False;1915;160;5
1591;TFTF-1900683;FIBRESPEED SL;B76799253;CALLE CLARA TOLEDO GOMEZ, LOCAL A, S/N. ESC.;LAS CHAFIRAS;SANTA CRUZ DE TENERIFE;38369;2020-01-30;2025-12-31;True;False;False;2162;180;6
1592;TFTF-1900696;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-01-30;2025-12-31;True;False;False;2162;180;6
1593;TFTF-1900853;RETEVISION I, S.A.UNIP.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2020-03-23;2025-12-31;True;False;False;2109;176;6
1595;TFTF-2000002;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2020-07-02;2025-12-31;True;False;False;2008;167;6
1596;TFTF-2000003;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2020-03-23;2025-12-31;True;False;False;2109;176;6
1597;TFTF-2000006;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2020-08-04;2025-12-31;True;False;False;1975;165;5
1598;TFTF-2000288;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-06-24;2025-12-31;True;False;False;2016;168;6
1599;TFTF-2000289;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115;MADRID;MADRID;28042;2020-06-24;2025-12-31;True;False;False;2016;168;6
1600;TFTF-2000290;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115;MADRID;MADRID;28042;2020-06-24;2025-12-31;True;False;False;2016;168;6
1601;TFTF-2000427;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2020-10-07;2025-12-31;True;False;False;1911;159;5
1602;TFTF-2000557;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO CLUB DEPORTIVO, 1.;MADRID;MADRID;28021;2020-08-21;2025-12-31;False;False;False;1958;163;5
1603;TFTF-2000663;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-09-17;2025-12-31;True;False;False;1931;161;5
1604;TFTF-2000665;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-09-15;2025-12-31;True;False;False;1933;161;5
1606;TFTF-2000703;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2020-10-14;2025-12-31;True;False;False;1904;159;5
1607;TFTF-2000726;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-10-22;2025-12-31;True;False;False;1896;158;5
1608;TFTF-2000755;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-10-11;2025-12-31;True;False;False;1907;159;5
1609;TFTF-2000776;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2020-11-11;2025-12-31;True;False;False;1876;156;5
1610;TFTF-2000837;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2020-10-12;2025-12-31;True;False;False;1906;159;5
1611;TFTF-2000838;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2020-10-12;2025-12-31;True;False;False;1906;159;5
1612;TFTF-2000853;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2020-12-28;2025-12-31;True;False;False;1829;152;5
1613;TFTF-2100026;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-01-27;2026-12-31;True;False;False;2164;180;6
1614;TFTF-2100038;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2021-01-03;2026-12-31;True;False;False;2188;182;6
1615;TFTF-2100134;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2021-03-22;2026-12-31;True;False;False;2110;176;6
1617;TFTF-2100325;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-10-05;2026-12-31;False;False;False;1913;159;5
1618;TFTF-2100634;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2021-08-09;2026-12-31;False;False;False;1970;164;5
1619;TFTF-2100659;NOVATIO COMUNICACIONES AVANZADAS SL;B76639582;AVDA MARITIMA, 19. 0º 3;CANDELARIA;SANTA CRUZ DE TENERIFE;38530;2021-08-09;2026-12-31;True;False;False;1970;164;5
1620;TFTF-2100683;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIU, 11.;MADRID;MADRID;28007;2021-09-21;2026-12-31;True;False;False;1927;161;5
1621;TFTF-2100733;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-10-14;2026-12-31;True;False;False;1904;159;5
1622;TFTF-2100746;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2021-10-19;2026-12-31;True;False;False;1899;158;5
1623;TFTF-2100747;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIÚ, 11.;MADRID;MADRID;28007;2021-10-27;2026-12-31;True;False;False;1891;158;5
1624;TFTF-2100771;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-10-27;2026-12-31;True;False;False;1891;158;5
1625;TFTF-2100808;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2021-11-22;2026-12-31;True;False;False;1865;155;5
1626;TFTF-2100814;DEKBERA COMMUNICATIONS SL;B76745637;CALLE ARIGUE, 51. V25;COSTA ADEJE;SANTA CRUZ DE TENERIFE;38670;2021-11-30;2026-12-31;True;False;False;1857;155;5
1628;BIZZ-1800330;RETEVISION I, SAU;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2018-06-15;2023-12-31;True;False;False;2025;169;6
1629;DGZZ-9200203;RETEVISION I, S.A.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2001-07-02;2026-12-31;True;False;False;9313;776;26
1630;M S -0100303;VODAFONE ESPAÑA, S.A.;A80907397;AV AMERICA, 115;MADRID;MADRID;28042;2002-10-04;2022-12-31;True;False;False;7393;616;21
1631;M S -0400189;VODAFONE ESPAÑA, S.A.;A80907397;AV AMERICA, 115;MADRID;MADRID;28042;2005-12-13;2025-12-31;True;False;False;7323;610;20
1632;M S -9800885;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2001-02-15;2026-12-31;True;False;False;9450;788;26
1633;O ZZ-0800132;RETEVISION I, S.A.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2008-06-23;2023-12-31;True;False;False;5669;472;16
1634;S S -0800220;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2009-09-02;2024-12-31;True;False;False;5599;467;16
1635;S S -0800221;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2009-04-05;2024-12-31;True;False;False;5749;479;16
1636;S S -0800222;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2009-08-01;2024-12-31;True;False;False;5631;469;16
1637;S S -0900126;RETEVISION I, S.A.;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2010-01-14;2025-12-31;True;False;False;5830;486;16
1638;S S -0900127;RETEVISION I, S.A.U.;A62275680;CALLE JUANESPLANDIÚ, 11.;MADRID;MADRID;28007;2009-11-16;2024-12-31;True;False;False;5524;460;15
1639;S S -1100035;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2011-04-08;2026-12-31;True;False;False;5746;479;16
1640;S S -1100140;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-01-13;2022-12-31;True;False;False;4005;334;11
1641;S S -1200003;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-02-03;2022-12-31;True;False;False;3984;332;11
1642;S S -1200004;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-02-03;2022-12-31;True;False;False;3984;332;11
1643;S S -1200127;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2012-10-09;2022-12-31;True;False;False;3735;311;10
1644;S S -1200247;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2012-10-19;2022-12-31;True;False;False;3725;310;10
1645;S S -1200248;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2012-10-19;2022-12-31;True;False;False;3725;310;10
1646;S S -1200291;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-01-22;2023-12-31;True;False;False;3995;333;11
1647;S S -1200312;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2013-08-03;2023-12-31;True;False;False;3802;317;11
1648;S S -1300325;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2013-06-28;2023-12-31;True;False;False;3838;320;11
1649;S S -1300411;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2013-10-16;2023-12-31;True;False;False;3728;311;10
1650;S S -1300481;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2014-07-01;2024-12-31;True;False;False;3836;320;11
1651;S S -1300483;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-06-02;2024-12-31;True;False;False;3865;322;11
1652;S S -1400240;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2014-06-13;2022-06-30;True;False;False;2939;245;8
1653;S S -1400336;XFERA MOVILES, S.A.U.;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2014-01-09;2024-12-31;True;False;False;4009;334;11
1654;S S -1400422;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2014-09-26;2024-12-31;True;False;False;3749;312;10
1655;S S -1400454;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2014-10-23;2024-12-31;True;False;False;3722;310;10
1656;S S -1400516;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-01-30;2025-12-31;True;False;False;3988;332;11
1657;S S -1500006;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2015-01-26;2025-12-31;True;False;False;3992;333;11
1658;S S -1600328;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2016-06-09;2026-12-31;True;False;False;3857;321;11
1659;S S -1600373;RETEVISION I SA;A62275680;VIA AV DEL PARQUE LOGISTICO, 12-20;BARCELONA;BARCELONA;8040;2016-10-24;2026-12-31;True;False;False;3720;310;10
1660;S S -1600404;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2016-11-28;2026-12-31;True;False;False;3685;307;10
1661;S S -1600405;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2016-11-28;2026-12-31;True;False;False;3685;307;10
1662;S S -1700121;RETEVISION I, S.A.UNIP.;A62275680;CL JUAN ESPLANDIU, 11-13;MADRID;MADRID;28007;2017-05-23;2022-12-31;True;False;False;2048;171;6
1663;S S -1700209;NETCAN TECHNOLOGIES SL;B39815329;CL ISABEL TORRES, 11. -1º OF.1;SANTANDER;CANTABRIA;39011;2017-06-28;2022-12-31;True;False;False;2012;168;6
1664;S S -1700329;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2017-09-21;2022-12-31;False;False;False;1927;161;5
1665;S S -1700391;XFERA MOVILES SA;A82528548;AVDA BRUSELAS, 38.;ALCOBENDAS;MADRID;28108;2017-12-13;2022-12-31;True;False;False;1844;154;5
1666;S S -1800411;VODAFONE ONO, S.A.;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2018-05-16;2023-12-31;True;False;False;2055;171;6
1667;S S -1800654;ORANGE ESPAGNE SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2018-05-11;2023-12-31;True;False;False;2060;172;6
1668;S S -1900109;AORA CONECTA, S.L.L.;B39801717;CL RUFINO RUIZ CEBALLOS, 31. 2º B;CAMARGO;CANTABRIA;39600;2019-03-25;2024-12-31;True;False;False;2108;176;6
1669;S S -1900148;VODAFONE ONO SA;A62186556;AV AMERICA, 115;MADRID;MADRID;28042;2019-04-24;2024-12-31;True;False;False;2078;173;6
1670;S S -1900228;ORANGE ESPAÑA SA;A82009812;PASEO CLUB DEPORTIVO, 1.;POZUELO DE ALARCÓN;MADRID;28223;2019-05-28;2024-12-31;False;False;False;2044;170;6
1671;S S -1900296;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115.;MADRID;MADRID;28042;2019-07-23;2024-12-31;True;False;False;1988;166;6
1672;S S -1900348;ORANGE ESPAGNE SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2019-06-09;2024-12-31;False;False;False;2032;169;6
1673;S S -1900471;ORANGE ESPAÑA SA;A82009812;PASEO CLUB DEPORTIVO, 1.;POZUELO DE ALARCÓN;MADRID;28223;2019-12-11;2024-12-31;False;False;False;1847;154;5
1674;S S -1900518;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2020-04-02;2025-12-31;False;False;False;2099;175;6
1675;S S -1900548;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2020-04-02;2025-12-31;False;False;False;2099;175;6
1676;S S -1900576;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2020-04-02;2025-12-31;False;False;False;2099;175;6
1677;S S -2000013;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO (DEL) - PARQUE EMPRESARIAL LA FINCA, 1 BLOQUE;POZUELO DE ALARCÓN;MADRID;28223;2020-04-02;2025-12-31;False;False;False;2099;175;6
1678;S S -2000015;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO 1. PARQUE EMPRESARIAL LA FINCA, 5. 0º;MADRID;MADRID;28223;2020-04-05;2025-12-31;False;False;False;2096;175;6
1679;S S -2000160;ORANGE ESPAÑA SA;A82009812;PASEO CLUB DEPORTIVO, 1.;POZUELO DE ALARCÓN;MADRID;28223;2020-04-05;2025-12-31;False;False;False;2096;175;6
1680;S S -2000292;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO, 1;POZUELO DE ALARCÓN;MADRID;28223;2020-07-29;2025-12-31;False;False;False;1981;165;6
1681;S S -2000294;ORANGE ESPAÑA SA;A82009812;PS CLUB DEPORTIVO, 1.;POZUELO DE ALARCÓN;MADRID;28223;2020-07-30;2025-12-31;False;False;False;1980;165;6
1682;S S -2000305;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2020-07-29;2025-12-31;False;False;False;1981;165;6
1683;S S -2000306;VODAFONE ONO SA;A62186556;AVDA AMERICA, 115;MADRID;MADRID;28042;2020-07-29;2025-12-31;True;False;False;1981;165;6
1684;S S -2000410;RETEVISION I, S.A.U.;A62275680;CALLE JUAN ESPLANDIU, 11.;MADRID;MADRID;28007;2020-05-10;2025-12-31;True;False;False;2061;172;6
1685;S S -2000427;ORANGE ESPAGNE, S.A.U.;A82009812;PASEO DEL CLUB DEPORTIVO, 1.;MADRID;MADRID;28223;2020-09-10;2025-12-31;False;False;False;1938;162;5
